ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,Great Blue Heron (not scavenging),Deer mouse,Human,Western Fence Lizard,Mule deer (mouth contact),Black phoebe
20,9,3,3549s (~59.15 minutes),3549s (~59.15 minutes),1774s (~29.57 minutes),0s,0s,0s,0s,0s,0s,0s
20,10,3,591s (~9.85 minutes),0s,1774s (~29.57 minutes),0s,0s,0s,0s,0s,0s,0s
20,11,3,1183s (~19.72 minutes),2365s (~39.42 minutes),5913s (~1.64 hours),0s,0s,0s,0s,0s,0s,0s
20,12,3,2400s (~40 minutes),0s,7200s (~2 hours),0s,0s,0s,0s,0s,0s,0s
20,13,3,0s,0s,5323s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s
22,2,3,591s (~9.85 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
22,3,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,4,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,5,4,592s (~9.87 minutes),10058s (~2.79 hours),0s,0s,0s,0s,0s,0s,0s,0s
22,6,4,0s,1775s (~29.58 minutes),1775s (~29.58 minutes),0s,0s,0s,0s,0s,0s,0s
22,7,4,0s,592s (~9.87 minutes),2366s (~39.43 minutes),0s,0s,0s,0s,0s,0s,0s
22,8,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,9,4,0s,0s,0s,0s,0s,1183s (~19.72 minutes),0s,0s,0s,0s
22,10,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,11,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,12,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,13,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,14,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
22,15,4,591s (~9.85 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
23,2,3,592s (~9.87 minutes),0s,28401s (~7.89 hours),0s,0s,0s,0s,0s,0s,0s
23,3,3,6506s (~1.81 hours),7689s (~2.14 hours),19517s (~5.42 hours),0s,0s,0s,0s,0s,0s,0s
23,4,3,2366s (~39.43 minutes),4140s (~1.15 hours),27798s (~7.72 hours),0s,0s,0s,0s,0s,0s,0s
23,5,3,6000s (~1.67 hours),1200s (~20 minutes),17400s (~4.83 hours),0s,0s,0s,0s,0s,0s,0s
23,6,3,6504s (~1.81 hours),591s (~9.85 minutes),8278s (~2.3 hours),0s,0s,0s,0s,0s,0s,0s
23,7,3,5912s (~1.64 hours),0s,5321s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s
23,8,3,4729s (~1.31 hours),0s,10050s (~2.79 hours),0s,0s,0s,0s,0s,0s,0s
23,9,3,4140s (~1.15 hours),0s,13603s (~3.78 hours),0s,0s,0s,0s,0s,0s,0s
23,10,4,1800s (~30 minutes),0s,7200s (~2 hours),0s,0s,0s,0s,0s,0s,0s
23,11,4,591s (~9.85 minutes),0s,5321s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s
24,2,3,3549s (~59.15 minutes),0s,2366s (~39.43 minutes),0s,0s,0s,0s,0s,0s,0s
24,3,3,8280s (~2.3 hours),2957s (~49.28 minutes),29571s (~8.21 hours),0s,0s,0s,0s,0s,0s,0s
24,4,3,7097s (~1.97 hours),5323s (~1.48 hours),14786s (~4.11 hours),0s,0s,0s,0s,0s,0s,0s
24,5,3,13603s (~3.78 hours),4140s (~1.15 hours),11237s (~3.12 hours),0s,0s,0s,0s,0s,0s,0s
24,6,3,8280s (~2.3 hours),2957s (~49.28 minutes),11829s (~3.29 hours),0s,0s,0s,0s,0s,0s,0s
