ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,small_mammal,Human
33,10,3,0s,1967s (~32.78 minutes),1312s (~21.87 minutes),0s,0s,0s
33,11,3,0s,0s,4700s (~1.31 hours),0s,0s,0s
33,12,3,0s,0s,0s,0s,0s,0s
33,13,3,0s,0s,1735s (~28.92 minutes),0s,0s,0s
33,14,3,0s,1313s (~21.88 minutes),7221s (~2.01 hours),0s,0s,0s
33,15,3,593s (~9.88 minutes),0s,0s,0s,0s,0s
33,16,3,0s,0s,0s,0s,0s,0s
33,17,3,0s,0s,0s,0s,0s,0s
33,18,3,1187s (~19.78 minutes),0s,0s,0s,0s,0s
33,19,3,1780s (~29.67 minutes),593s (~9.88 minutes),0s,0s,0s,0s
33,20,3,0s,0s,0s,0s,0s,0s
33,21,3,593s (~9.88 minutes),593s (~9.88 minutes),0s,0s,0s,0s
33,22,3,0s,0s,0s,0s,0s,0s
33,23,3,0s,0s,0s,0s,0s,0s
33,24,3,0s,0s,0s,0s,0s,0s
33,25,3,0s,0s,0s,0s,0s,0s
33,26,3,0s,0s,0s,0s,0s,0s
33,27,3,0s,0s,0s,0s,0s,0s
33,28,4,0s,0s,0s,0s,0s,0s
33,29,4,1187s (~19.78 minutes),5341s (~1.48 hours),0s,0s,0s,0s
33,30,4,0s,593s (~9.88 minutes),0s,0s,593s (~9.88 minutes),0s
33,31,4,0s,0s,0s,593s (~9.88 minutes),0s,0s
33,32,4,0s,1192s (~19.87 minutes),0s,0s,0s,0s
33,33,4,0s,0s,0s,0s,0s,0s
33,34,4,0s,0s,0s,1841s (~30.68 minutes),0s,0s
33,35,4,0s,0s,0s,3600s (~1 hours),0s,0s
33,36,4,0s,0s,0s,1200s (~20 minutes),0s,0s
33,37,4,0s,0s,0s,0s,0s,0s
33,38,4,0s,1214s (~20.23 minutes),0s,0s,0s,0s
33,39,4,0s,600s (~10 minutes),0s,0s,0s,0s
33,40,4,0s,0s,0s,0s,0s,0s
33,41,4,0s,0s,0s,0s,0s,0s
33,42,4,0s,0s,0s,0s,0s,0s
33,43,4,0s,0s,0s,0s,0s,0s
33,44,4,0s,0s,0s,1187s (~19.78 minutes),0s,0s
33,45,4,0s,0s,0s,600s (~10 minutes),0s,0s
33,46,4,0s,0s,0s,1184s (~19.73 minutes),0s,0s
35,2,3,0s,1186s (~19.77 minutes),16600s (~4.61 hours),0s,0s,0s
35,3,3,0s,0s,8311s (~2.31 hours),0s,0s,0s
35,4,4,0s,0s,17589s (~4.89 hours),0s,0s,0s
35,5,4,0s,0s,19200s (~5.33 hours),0s,0s,0s
35,6,4,0s,0s,24258s (~6.74 hours),0s,0s,0s
35,7,4,0s,0s,8491s (~2.36 hours),0s,0s,0s
35,8,4,0s,0s,1226s (~20.43 minutes),0s,0s,0s
35,9,4,6190s (~1.72 hours),4127s (~1.15 hours),4815s (~1.34 hours),0s,0s,0s
35,10,4,5503s (~1.53 hours),0s,2751s (~45.85 minutes),0s,0s,0s
35,11,4,0s,0s,626s (~10.43 minutes),0s,0s,0s
35,12,4,0s,0s,0s,0s,0s,0s
35,13,4,2452s (~40.87 minutes),0s,613s (~10.22 minutes),0s,0s,0s
35,14,4,4133s (~1.15 hours),0s,0s,0s,0s,0s
35,15,4,1840s (~30.67 minutes),0s,0s,0s,0s,0s
35,16,4,600s (~10 minutes),0s,1800s (~30 minutes),0s,0s,0s
35,17,4,0s,1187s (~19.78 minutes),0s,0s,0s,0s
35,18,4,12600s (~3.5 hours),6000s (~1.67 hours),0s,0s,0s,0s
35,19,4,1187s (~19.78 minutes),4154s (~1.15 hours),593s (~9.88 minutes),0s,0s,0s
35,20,4,4748s (~1.32 hours),2374s (~39.57 minutes),0s,0s,0s,0s
35,21,4,0s,0s,0s,0s,0s,0s
35,22,4,597s (~9.95 minutes),1195s (~19.92 minutes),0s,0s,0s,0s
35,23,4,10090s (~2.8 hours),1187s (~19.78 minutes),0s,0s,0s,0s
35,24,4,607s (~10.12 minutes),0s,0s,0s,0s,0s
35,25,4,3640s (~1.01 hours),0s,0s,0s,0s,0s
35,26,4,9303s (~2.58 hours),3101s (~51.68 minutes),0s,0s,0s,0s
35,27,4,3939s (~1.09 hours),0s,0s,0s,0s,0s
35,28,4,16200s (~4.5 hours),600s (~10 minutes),0s,0s,0s,0s
35,29,4,15773s (~4.38 hours),607s (~10.12 minutes),0s,0s,0s,0s
35,30,4,2967s (~49.45 minutes),0s,0s,0s,0s,0s
35,31,4,0s,0s,0s,0s,0s,0s
35,32,4,0s,0s,0s,0s,0s,0s
36,1,3,0s,0s,593s (~9.88 minutes),0s,0s,0s
36,2,3,0s,0s,0s,0s,0s,0s
